YYYYMMDD, TG
19090101, -160 
19120207, -160
19170127, -160
19290212, -160
19331216, -160
19400130, -160
19410206, -160
19420122, -160
19470208, -160
19540203, -160
19560214, -160
19630118, -160
19850221, -160
19860226, -160
19970104, -160
